x,Curve1
0.0807126,7.91557e-07
0.173864,1.18734e-06
0.242187,1.18734e-06
0.316705,1.58311e-06
0.3788,1.97889e-06
0.440895,2.37467e-06
0.49678,2.77045e-06
0.558875,3.16623e-06
0.620971,3.56201e-06
0.676838,4.35356e-06
0.738934,4.74934e-06
0.801029,5.14512e-06
0.856881,6.33245e-06
0.912748,7.12401e-06
0.968616,7.91557e-06
1.03068,9.1029e-06
1.08651,1.0686e-05
1.14237,1.18734e-05
1.1982,1.34565e-05
1.25402,1.54354e-05
1.30363,1.74142e-05
1.35323,1.93931e-05
1.40904,2.17678e-05
1.45243,2.37467e-05
1.50201,2.65172e-05
1.54537,2.92876e-05
1.58873,3.2058e-05
1.62589,3.48285e-05
1.66302,3.79947e-05
1.70016,4.11609e-05
1.73731,4.39314e-05
1.76822,4.74934e-05
1.79914,5.06596e-05
1.83005,5.42216e-05
1.86096,5.77836e-05
1.89189,6.09499e-05
1.91658,6.45119e-05
1.94128,6.80739e-05
1.96598,7.16359e-05
1.99068,7.51979e-05
2.01537,7.87599e-05
2.04007,8.23219e-05
2.05856,8.58839e-05
2.08325,8.94459e-05
2.10174,9.30079e-05
2.12021,9.69657e-05
2.13869,0.000100528
2.15718,0.00010409
2.17565,0.000108047
2.19414,0.000111609
2.21882,0.000115567
2.23109,0.000119129
2.24956,0.000123087
2.26805,0.000126649
2.28652,0.000130607
2.305,0.000134169
2.32349,0.000137731
2.34189,0.000143272
2.36038,0.000146834
2.37264,0.000150792
2.39724,0.000156728
2.41572,0.00016029
2.42798,0.000164248
2.44642,0.000168997
2.4649,0.000172559
2.47716,0.000176517
2.49563,0.000180475
2.50791,0.000184037
2.52018,0.000187599
2.53244,0.000191557
2.55093,0.000195119
2.56319,0.000199077
2.58167,0.000202639
2.60014,0.000206596
2.6124,0.000210554
2.63703,0.000215699
2.65547,0.000220449
2.67394,0.000224406
2.69237,0.000229156
2.71078,0.000234697
2.73548,0.000238259
2.76629,0.000244195
2.7971,0.000250132
2.82797,0.000254485
2.85257,0.000260422
2.88971,0.000263588
2.92679,0.000267942
2.97014,0.000271108
3.01973,0.000273483
3.04451,0.000275066
3.09428,0.000273087
3.13784,0.000271108
3.17521,0.000268734
3.20639,0.000265567
3.23137,0.000262401
3.25633,0.000259631
3.29379,0.000254881
3.32505,0.000250132
3.35004,0.00024657
3.38132,0.000241029
3.40009,0.000237863
3.43137,0.000232322
3.45014,0.000229156
3.49391,0.000222032
3.52526,0.000214908
3.55658,0.000208575
3.58777,0.000205409
3.61281,0.00020066
3.62536,0.000197493
3.64419,0.000192744
3.66923,0.000187995
3.71304,0.000180079
3.7381,0.000174934
3.76311,0.000170976
3.79444,0.000164248
3.81945,0.00016029
3.85072,0.000155145
3.8633,0.000151187
3.8883,0.000147625
3.91963,0.000140897
3.94462,0.000137335
3.96342,0.000133377
3.9822,0.000129815
4.00719,0.000126253
4.01978,0.000122296
4.05105,0.00011715
4.07604,0.000113588
4.09482,0.000110026
4.11982,0.000106464
4.1386,0.000102902
4.15738,9.93404e-05
4.17616,9.57784e-05
4.20117,9.18206e-05
4.21995,8.82586e-05
4.24494,8.46966e-05
4.26995,8.07388e-05
4.28873,7.71768e-05
4.31371,7.40106e-05
4.3325,7.00528e-05
4.3575,6.64908e-05
4.38249,6.29288e-05
4.40748,5.93668e-05
4.43247,5.58047e-05
4.45748,5.1847e-05
4.48247,4.8285e-05
4.51366,4.51187e-05
4.53865,4.15567e-05
4.56984,3.83905e-05
4.60104,3.48285e-05
4.62603,3.12665e-05
4.65722,2.81003e-05
4.69462,2.4934e-05
4.73203,2.1372e-05
4.77566,1.781e-05
4.81306,1.46438e-05
4.85662,1.26649e-05
4.89402,9.49868e-06
4.94379,7.51979e-06
5.00605,3.95778e-06
5.06819,3.16623e-06
5.12414,1.97889e-06
5.13658,1.58311e-06
5.18629,1.18734e-06
5.19872,7.91557e-07
5.26084,7.91557e-07
5.31674,7.91557e-07
5.37264,7.91557e-07
5.43477,3.95778e-07
5.49688,3.95778e-07
5.55899,3.95778e-07
5.6211,3.95778e-07
5.68321,3.95778e-07
5.74533,3.95778e-07
5.80744,3.95778e-07
5.86955,3.95778e-07
5.93166,3.95778e-07
