x,Curve1
0.00777757,1.09531
0.0189351,1.19488
0.0300927,1.29445
0.0401373,1.29445
0.0512948,1.39403
0.0624524,1.4936
0.0736099,1.59317
0.0847675,1.69275
0.0948121,1.69275
0.10597,1.79232
0.116011,1.89189
0.127169,1.99147
0.138326,2.09104
0.148364,2.29018
0.159525,2.29018
0.170683,2.38976
0.18184,2.48933
0.191879,2.68848
0.203036,2.78805
0.214197,2.78805
0.224235,2.9872
0.235389,3.18634
0.245431,3.28592
0.256588,3.38549
0.267746,3.48506
0.277781,3.78378
0.288939,3.88336
0.298977,4.0825
0.310135,4.18208
0.320173,4.38122
0.330211,4.58037
0.341365,4.77952
0.351401,5.07824
0.362555,5.27738
0.373709,5.47653
0.382628,5.77525
0.393783,5.9744
0.403815,6.37269
0.419427,6.77098
0.441723,7.56757
0.452874,7.86629
0.465132,8.46373
0.484077,9.35989
0.495209,10.256
0.505231,10.9531
0.514141,11.5505
0.520821,12.0484
0.528611,12.7454
0.535289,13.3428
0.541966,13.9403
0.54864,14.6373
0.556427,15.4339
0.565324,16.4296
0.570876,17.3257
0.576431,18.1223
0.580879,18.6202
0.588654,19.8151
0.593099,20.4125
0.596425,21.1095
0.60309,22.1053
0.606422,22.6031
0.609754,23.101
0.616413,24.2959
0.619742,24.8933
0.627516,26.0882
0.633068,26.9844
0.63973,28.0797
0.644175,28.6771
0.64751,29.0754
0.655288,30.1707
0.65973,30.8677
0.665294,31.3656
0.670862,31.7639
0.677543,32.2617
0.679768,32.4609
0.686455,32.7596
0.69761,32.9587
0.712131,32.5605
0.721079,31.963
0.726675,31.4651
0.730039,30.9673
0.737877,30.1707
0.744593,29.5733
0.746841,29.0754
0.752446,28.2788
0.759175,27.2831
0.765903,26.2873
0.770389,25.5903
0.772634,25.192
0.779366,24.0967
0.784971,23.3001
0.790583,22.3044
0.797308,21.4083
0.806275,20.2134
0.811881,19.4168
0.817483,18.7198
0.825315,18.1223
0.830921,17.3257
0.837639,16.6287
0.843239,16.0313
0.848829,15.7326
0.854428,15.1351
0.865614,14.3385
0.875681,13.6415
0.885745,13.0441
0.900279,12.2475
0.914807,11.6501
0.924864,11.2518
0.933806,10.8535
0.943863,10.4552
0.95392,10.0569
0.963978,9.65861
0.972919,9.26031
0.982973,8.96159
