x,Curve1
0.0521173,2.41789e-06
0.130293,2.885e-06
0.201954,3.35369e-06
0.267101,3.33786e-06
0.332248,4.29425e-06
0.390879,5.25222e-06
0.449511,5.72408e-06
0.514658,6.68047e-06
0.579805,7.15074e-06
0.638436,8.59482e-06
0.703583,1.00373e-05
0.762215,1.14814e-05
0.820847,1.29255e-05
0.872964,1.48573e-05
0.938111,1.67859e-05
0.990228,1.92038e-05
1.04235,2.21078e-05
1.09446,2.45257e-05
1.14007,2.74312e-05
1.19218,3.03352e-05
1.23779,3.37269e-05
1.28339,3.66325e-05
1.32248,4.05119e-05
1.36156,4.43913e-05
1.40065,4.77846e-05
1.43974,5.1664e-05
1.47883,5.55433e-05
1.50489,5.9912e-05
1.53746,6.3793e-05
1.58306,7.05875e-05
1.61564,7.44684e-05
1.64169,7.8351e-05
1.66775,8.32058e-05
1.69381,8.70883e-05
1.71336,9.19447e-05
1.73941,9.58272e-05
1.75896,0.000100684
1.78502,0.000104566
1.80456,0.000109423
1.8241,0.000113307
1.84365,0.000118163
1.86319,0.000123019
1.88274,0.000126904
1.90228,0.00013176
1.92182,0.00013613
1.94137,0.0001405
1.96091,0.000144871
1.97394,0.000149729
1.99349,0.000154585
2.01303,0.000158469
2.02606,0.000163327
2.0456,0.000167697
2.05863,0.000172555
2.07166,0.000176927
2.09121,0.000181297
2.11726,0.000189069
2.13029,0.000193927
2.14984,0.000198297
2.16287,0.000202669
2.1759,0.000207527
2.19544,0.000211897
2.20847,0.000216755
2.22801,0.000220639
2.24104,0.000225497
2.25407,0.000230355
2.27362,0.000234725
2.29967,0.000241524
2.32573,0.00024881
2.34528,0.000257069
2.36482,0.000262411
2.40391,0.000269693
2.42345,0.00027698
2.44951,0.00028378
2.46906,0.000288636
2.49511,0.000295435
2.52117,0.000300776
2.55375,0.000304657
2.5798,0.000310484
2.61238,0.000316309
2.65798,0.000319215
2.69707,0.000322608
2.74919,0.000325512
2.80782,0.000324526
2.85993,0.000322083
2.9316,0.00031526
2.97068,0.000312334
3.00977,0.000306977
3.04235,0.000301622
3.0684,0.000295782
3.10749,0.000289939
3.14658,0.000282638
3.17915,0.000276797
3.21173,0.000270469
3.25733,0.000262681
3.28339,0.000255383
3.32899,0.000246135
3.38111,0.000235428
3.41368,0.000231531
3.43322,0.000224235
3.4658,0.000220338
3.47883,0.000214502
3.5114,0.000210605
3.53094,0.000205253
3.57003,0.000196493
3.60261,0.000187735
3.64821,0.000179947
3.69381,0.000170213
3.7329,0.000159509
3.7785,0.000150748
3.83062,0.000138583
3.85668,0.000134202
3.86971,0.000131282
3.89577,0.0001269
3.90879,0.000123494
3.93485,0.000119599
3.9544,0.000114733
3.99349,0.000106946
4.01954,0.000103051
4.0456,9.81834e-05
4.07166,9.42881e-05
4.09121,8.94223e-05
4.11726,8.55271e-05
4.16287,7.77382e-05
4.18241,7.33584e-05
4.2215,6.60573e-05
4.26059,6.21589e-05
4.29316,5.82621e-05
4.31922,5.38807e-05
4.35179,4.99839e-05
4.38436,4.60871e-05
4.42345,4.12165e-05
4.46254,3.6832e-05
4.50814,3.34182e-05
4.54723,3.0492e-05
4.61238,2.36706e-05
4.65798,2.1229e-05
4.73616,1.63489e-05
4.78827,1.39056e-05
4.84039,1.14624e-05
4.9316,8.52357e-06
5.03583,6.06768e-06
5.12704,4.10107e-06
5.21824,2.62057e-06
5.30945,1.62618e-06
5.40717,1.11631e-06
5.53746,5.98534e-07
5.66124,5.68449e-07
5.75896,5.85867e-08
5.88274,-4.57609e-07
