x,Curve1
0.945314,7.1962e-07
1.09321,1.29379e-06
1.17036,1.85506e-06
1.23465,2.41398e-06
1.29896,2.42571e-06
1.35682,2.98346e-06
1.42111,3.54238e-06
1.4854,4.1013e-06
1.54967,5.20742e-06
1.60753,5.76517e-06
1.6718,6.87128e-06
1.72965,7.97622e-06
1.79392,9.08234e-06
1.85174,1.07345e-05
1.90957,1.23866e-05
1.96741,1.34915e-05
2.0252,1.62381e-05
2.08301,1.84374e-05
2.14082,2.06367e-05
2.19219,2.28349e-05
2.24353,2.61274e-05
2.29487,2.94199e-05
2.33978,3.27113e-05
2.38469,3.60027e-05
2.43602,3.98424e-05
2.47448,4.36798e-05
2.51937,4.75184e-05
2.55782,5.19029e-05
2.59628,5.57403e-05
2.63472,6.01249e-05
2.66672,6.50555e-05
2.69873,6.94389e-05
2.73075,7.38223e-05
2.76276,7.82057e-05
2.78832,8.31351e-05
2.82034,8.75185e-05
2.85235,9.19019e-05
2.87148,9.68302e-05
2.90348,0.000101761
2.92261,0.000106689
2.95463,0.000111072
2.98019,0.000116002
2.99933,0.00012093
3.03132,0.000125861
3.05046,0.000130789
3.06959,0.000135717
3.09516,0.000140647
3.11429,0.000145575
3.13986,0.000150504
3.16544,0.000154887
3.18455,0.000160362
3.21657,0.000164745
3.22925,0.00017022
3.26127,0.000174603
3.28683,0.000179532
3.29955,0.000183912
3.33157,0.000188296
3.36347,0.000195962
3.40192,0.000200347
3.44038,0.000204184
3.45957,0.000207471
3.50446,0.00021131
3.56227,0.000213509
3.6202,0.000211878
3.6653,0.00020915
3.70403,0.00020478
3.72991,0.00019986
3.77519,0.00019166
3.80116,0.000184004
3.82716,0.000175253
3.83379,0.000169236
3.85984,0.000158844
3.87944,0.000149545
3.89247,0.000144075
3.90562,0.000135323
3.92507,0.000130401
3.93819,0.000122196
3.95764,0.000117275
4.00331,9.70366e-05
4.02276,9.21154e-05
4.0488,8.22706e-05
4.07468,7.73506e-05
4.09422,6.96934e-05
4.1201,6.47734e-05
4.15254,5.60242e-05
4.17842,5.11041e-05
4.21079,4.45437e-05
4.24308,4.0172e-05
4.26896,3.5252e-05
4.30769,3.08815e-05
4.35292,2.43234e-05
4.39805,2.05012e-05
4.44318,1.72263e-05
4.48833,1.2857e-05
4.53983,1.12248e-05
4.5978,8.49937e-06
4.64933,5.77279e-06
4.70726,4.14177e-06
4.79738,1.42223e-06
4.91317,3.4896e-07
