x,Curve1
2.01356,2.18834e-07
2.08179,2.94097e-07
2.15002,3.6936e-07
2.20463,3.71347e-07
2.266,5.19141e-07
2.33423,5.94404e-07
2.39563,6.69419e-07
2.4638,8.9024e-07
2.52517,1.03803e-06
2.58657,1.11305e-06
2.63421,1.47868e-06
2.70247,1.48117e-06
2.75698,1.70149e-06
2.81147,1.99459e-06
2.85913,2.28745e-06
2.95448,2.80038e-06
3.00894,3.16626e-06
3.05657,3.5319e-06
3.10418,3.97031e-06
3.14495,4.40848e-06
3.19255,4.84689e-06
3.24013,5.35808e-06
3.27405,5.86878e-06
3.31482,6.30694e-06
3.34868,6.9632e-06
3.38943,7.47414e-06
3.42332,8.05762e-06
3.45718,8.71387e-06
3.48422,9.36988e-06
3.51811,9.95335e-06
3.552,1.05368e-05
3.57221,1.11926e-05
3.60607,1.18488e-05
3.62628,1.25046e-05
3.65331,1.31606e-05
3.67352,1.38164e-05
3.70056,1.44724e-05
3.72077,1.51281e-05
3.74098,1.57839e-05
3.76116,1.65124e-05
3.78822,1.70956e-05
3.80157,1.78239e-05
3.82178,1.84797e-05
3.84199,1.91354e-05
3.85535,1.98637e-05
3.87556,2.05195e-05
3.88891,2.12478e-05
3.91597,2.1831e-05
3.92933,2.25593e-05
3.94268,2.32876e-05
3.96289,2.39433e-05
3.97627,2.45988e-05
3.98963,2.53271e-05
4.00984,2.59829e-05
4.02319,2.67112e-05
4.03654,2.74395e-05
4.05678,2.80224e-05
4.07014,2.87507e-05
4.08349,2.9479e-05
4.09687,3.01345e-05
4.11023,3.08628e-05
4.12361,3.15183e-05
4.13696,3.22466e-05
4.15035,3.29021e-05
4.1637,3.36304e-05
4.17705,3.43587e-05
4.19726,3.50145e-05
4.21065,3.567e-05
4.224,3.63983e-05
4.23738,3.70538e-05
4.25074,3.77821e-05
4.27092,3.85106e-05
4.28433,3.90933e-05
4.29768,3.98216e-05
4.31104,4.05499e-05
4.33125,4.12056e-05
4.3446,4.19339e-05
4.37828,4.30269e-05
4.39846,4.37554e-05
4.42553,4.43386e-05
4.44571,4.50672e-05
4.47277,4.56504e-05
4.50666,4.62339e-05
4.56798,4.65272e-05
4.63668,4.5438e-05
4.66425,4.4784e-05
4.67817,4.41295e-05
4.69892,4.34752e-05
4.71287,4.27479e-05
4.72682,4.20206e-05
4.74074,4.13661e-05
4.76873,3.96932e-05
4.77585,3.89656e-05
4.7898,3.82383e-05
4.80372,3.75838e-05
4.81084,3.68563e-05
4.81797,3.61287e-05
4.82509,3.54012e-05
4.83219,3.47464e-05
4.84611,3.40919e-05
4.85323,3.33644e-05
4.86035,3.26368e-05
4.86748,3.19093e-05
4.8746,3.11818e-05
4.88855,3.04545e-05
4.89565,2.97997e-05
4.90277,2.90722e-05
4.90989,2.83446e-05
4.91702,2.76171e-05
4.92414,2.68895e-05
4.93126,2.6162e-05
4.93839,2.54344e-05
4.95231,2.47799e-05
4.95943,2.40524e-05
4.96656,2.33248e-05
4.97368,2.25973e-05
4.9808,2.18698e-05
4.9811,2.1142e-05
4.99502,2.04874e-05
5.00215,1.97599e-05
5.00924,1.91051e-05
5.01636,1.83776e-05
5.02349,1.76501e-05
5.03061,1.69225e-05
5.04453,1.6268e-05
5.05166,1.55405e-05
5.05878,1.48129e-05
5.0659,1.40854e-05
5.07303,1.33578e-05
5.09377,1.27036e-05
5.1009,1.1976e-05
5.10802,1.12485e-05
5.11515,1.05209e-05
5.12909,9.79364e-06
5.14301,9.13912e-06
5.15011,8.48436e-06
5.16406,7.75706e-06
5.17118,7.02952e-06
5.19193,6.37525e-06
5.20588,5.64796e-06
5.21983,4.92066e-06
5.24057,4.2664e-06
5.25449,3.61188e-06
5.27527,2.88484e-06
5.30281,2.3036e-06
5.33038,1.64958e-06
5.36475,1.06859e-06
5.41274,5.60871e-07
