x,Curve1
0.00683409,2.04613
0.0185437,2.04613
0.0302498,2.08333
0.0419594,2.08333
0.0524911,2.15774
0.0642042,2.12054
0.0759103,2.15774
0.0876164,2.19494
0.098155,2.19494
0.109861,2.23214
0.121571,2.23214
0.132102,2.30655
0.143812,2.30655
0.155522,2.30655
0.167224,2.38095
0.178934,2.38095
0.189466,2.45536
0.201179,2.41815
0.21171,2.49256
0.223416,2.52976
0.235123,2.56696
0.246829,2.60417
0.258535,2.64137
0.269066,2.71577
0.280776,2.71577
0.291304,2.82738
0.303014,2.82738
0.313546,2.90179
0.325245,3.01339
0.33578,3.0506
0.346308,3.1622
0.358018,3.1622
0.368542,3.31101
0.37907,3.42262
0.389602,3.49702
0.400127,3.64583
0.409491,3.68304
0.418845,3.83185
0.428195,4.01786
0.438723,4.12946
0.446903,4.31548
0.457431,4.42708
0.466771,4.7247
0.476117,4.94792
0.484297,5.13393
0.487796,5.28274
0.494797,5.54315
0.505297,5.95238
0.512295,6.25
0.519296,6.51042
0.521614,6.77083
0.526266,7.10565
0.533247,7.58929
0.539074,7.8869
0.543716,8.33333
0.547194,8.70536
0.553,9.22619
0.556478,9.59821
0.559963,9.89583
0.56227,10.2679
0.566898,10.8631
0.570376,11.2351
0.573833,11.8304
0.577315,12.1652
0.580796,12.5
0.584278,12.8348
0.586585,13.2068
0.588892,13.5789
0.593548,13.8765
0.597026,14.2485
0.601682,14.5461
0.606334,14.881
0.61451,15.1042
0.622724,14.9182
0.62861,14.5833
0.633322,14.2857
0.635699,13.9137
0.640411,13.6161
0.642787,13.244
0.645164,12.872
0.648708,12.5372
0.651082,12.2024
0.653459,11.8304
0.662945,10.5655
0.666489,10.2307
0.670047,9.74702
0.673591,9.4122
0.67715,8.92857
0.681865,8.59375
0.684245,8.18452
0.688957,7.8869
0.692504,7.51488
0.69722,7.18006
0.70312,6.69643
0.709002,6.39881
0.714885,6.10119
0.720771,5.76637
0.727821,5.50595
0.734872,5.24554
0.743093,4.98512
0.751314,4.7247
0.759528,4.53869
0.768917,4.31548
0.779473,4.12946
0.788858,3.94345
0.799414,3.75744
0.809966,3.60863
0.820516,3.49702
0.832236,3.38542
0.842788,3.23661
0.853337,3.125
0.865054,3.0506
0.874428,2.97619
0.886145,2.90179
0.896694,2.79018
0.908411,2.71577
0.918953,2.67857
0.930666,2.64137
0.942382,2.56696
0.952925,2.52976
0.964641,2.45536
0.976351,2.45536
0.986893,2.41815
